movie_name,movie_year
Oppenheimer,2023
Spider-Man: Across the Spider-Verse,2023
Interstellar,2014
The Godfather,1972
The Dark Knight,2008
The Shawshank Redemption,1994
Inception,2010
Spider-Man: Into the Spider-Verse,2018
Pulp Fiction,1994
The Prestige,2006
Oldboy,2003
Inglourious Basterds,2009
The Lord of the Rings: The Fellowship of the Ring,2001
Goodfellas,1990
Joker,2019
Fight Club,1999
The Departed,2006
Gladiator,2000
Parasite,2019
The Dark Knight Rises,2012
Django Unchained,2012
Avengers: Endgame,2019
Memento,2000
Schindler's List,1993
Back to the Future,1985
Forrest Gump,1994
The Godfather Part II,1974
Se7en,1995
Alien,1979
Requiem for a Dream,2000
The Silence of the Lambs,1991
The Shining,1980
Terminator 2: Judgment Day,1991
American Beauty,1999
The Matrix,1999
Whiplash,2014
Good Will Hunting,1997
Saving Private Ryan,1998
Léon: The Professional,1994
The Lord of the Rings: The Return of the King,2003
One Flew Over the Cuckoo's Nest,1975
Apocalypse Now,1979
Aliens,1986
12 Angry Men,1957
Indiana Jones and the Raiders of the Lost Ark,1981
2001: A Space Odyssey,1968
The Green Mile,1999
Braveheart,1995
The Pianist,2002
Avengers: Infinity War,2018
